scene,method,trial,step,time,x,y,z,goal_distance,goal_progress_delta,control_deviation,min_safety_h_step,active_constraints_count,runtime_step,qp_feasible,collision_step
stonehenge,safer_splat_filter,93,172,8.6,0.085769310593605,0.0451994277536869,0.0529805086553096,0.5344381332397461,0.0005614757537841797,0.1199614703655242,0.0004803215560968,346,0.0549804344773292,True,False
stonehenge,safer_splat_filter,93,171,8.55,0.0862250700592994,0.0444298610091209,0.0534252189099788,0.5349996089935303,0.0005810260772705078,0.1198174655437469,0.00049833743833,355,0.0546913351863622,True,False
stonehenge,safer_splat_filter,92,174,8.700000000000001,0.0920529589056968,0.0274775307625532,0.0562494844198226,0.5378197431564331,0.00099104642868042,0.1197962164878845,0.0006048504728823,354,0.0580206383019685,True,False
stonehenge,safer_splat_filter,62,35,1.75,-0.33222296833992,-0.2860046625137329,0.0379278883337974,0.7513840794563293,0.0007600784301757812,0.119780883193016,0.0009707013377919,702,0.060408947058022,True,False
stonehenge,safer_splat_filter,82,8,0.4,0.1019072234630584,-0.3737103343009949,0.0562332794070243,0.7810410261154175,0.0006098151206970215,0.1197715178132057,0.0012582761701196,391,0.0575326643884182,True,False
stonehenge,safer_splat_filter,96,7,0.35,0.3039082884788513,-0.1015106886625289,0.0430304408073425,0.782680094242096,0.0003363490104675293,0.1197194382548332,0.0008183737518265,520,0.0578638520091772,True,False
stonehenge,safer_splat_filter,93,170,8.5,0.0866969525814056,0.043642446398735,0.0538660734891891,0.5355806350708008,0.0006006956100463867,0.1196111738681793,0.0005180432926863,359,0.0548682417720556,True,False
stonehenge,safer_splat_filter,92,163,8.15,0.1008561626076698,0.0161593686789274,0.0549656189978122,0.5488079786300659,0.0009399056434631348,0.1194939017295837,0.0006391945062205,382,0.0543914921581745,True,False
stonehenge,safer_splat_filter,54,74,3.7,-0.4150058031082153,-0.06344535946846,0.0485662296414375,0.7255386710166931,0.0005944967269897461,0.1194878071546554,0.0004199497925583,703,0.0643388638272881,True,False
stonehenge,safer_splat_filter,92,164,8.200000000000001,0.1001089289784431,0.0171640645712614,0.0550866574048996,0.5478596687316895,0.0009483098983764648,0.119484357535839,0.0006386124296113,379,0.0528818387538194,True,False
stonehenge,safer_splat_filter,93,169,8.450000000000001,0.0871846452355384,0.0428341515362262,0.0542978011071682,0.5361813306808472,0.0006212592124938965,0.119328923523426,0.000539269298315,368,0.0552110727876424,True,False
stonehenge,safer_splat_filter,92,162,8.1,0.1015920788049697,0.015148333273828,0.0548462308943271,0.549747884273529,0.0009328126907348633,0.119153581559658,0.0006426136242225,380,0.0574390012770891,True,False
stonehenge,safer_splat_filter,92,165,8.25,0.0993494838476181,0.0181673429906368,0.0552126802504062,0.546901285648346,0.0009583830833435059,0.1191336587071418,0.0006412498187273,359,0.0554703045636415,True,False
stonehenge,safer_splat_filter,96,12,0.6000000000000001,0.3029465675354004,-0.0977001637220382,0.0461249873042106,0.7809752821922302,0.00033420324325561523,0.1191241592168808,0.0007378526497632,507,0.0599320922046899,True,False
stonehenge,safer_splat_filter,16,38,1.9,0.0943781211972236,0.2786969542503357,0.0582744404673576,0.7463883757591248,0.000704348087310791,0.119103692471981,0.0010800532763823,390,0.0633289273828268,True,False
stonehenge,safer_splat_filter,33,48,2.4000000000000004,-0.2309711128473281,0.2716065049171448,0.0391676798462867,0.7289637327194214,0.0007287263870239258,0.1189868599176406,0.0011311457492411,617,0.0669996161013841,True,False
stonehenge,safer_splat_filter,93,168,8.4,0.0876889377832412,0.0420036353170871,0.0547155924141407,0.5368025898933411,0.0006425380706787109,0.1189541518688201,0.0005618983414024,375,0.0555612817406654,True,False
stonehenge,safer_splat_filter,62,34,1.7000000000000002,-0.3327300250530243,-0.2865731418132782,0.0382171310484409,0.7521441578865051,0.0007802248001098633,0.1189085394144058,0.0010209573665633,700,0.0590474009513855,True,False
stonehenge,safer_splat_filter,72,40,2.0,-0.1040231436491012,-0.38932666182518,0.0420455187559127,0.7515887022018433,0.0005828142166137695,0.1187294498085975,0.0010742233134806,511,0.0604395624250173,True,False
stonehenge,safer_splat_filter,54,73,3.65,-0.415492296218872,-0.0640380978584289,0.0485334359109401,0.7261331677436829,0.0006011128425598145,0.1187241896986961,0.0004361681931186,717,0.0658039171248674,True,False
stonehenge,safer_splat_filter,92,173,8.65,0.0928512811660766,0.0264582987874746,0.056225910782814,0.5388107895851135,0.0010091066360473633,0.1186691150069236,0.0006105294451117,354,0.0587912946939468,True,False
stonehenge,safer_splat_filter,93,167,8.35,0.0882105529308319,0.0411502718925476,0.0551157519221305,0.5374451279640198,0.0006623268127441406,0.1184695735573768,0.0005858751246705,376,0.0566675085574388,True,False
stonehenge,safer_splat_filter,92,161,8.05,0.1023168861865997,0.0141261937096714,0.0547243170440197,0.5506806969642639,0.0009260773658752441,0.1184401884675026,0.0006481221644207,375,0.0541502274572849,True,False
stonehenge,safer_splat_filter,92,166,8.3,0.0985762923955917,0.0191742647439241,0.0553461946547031,0.545930027961731,0.0009712576866149902,0.1184370964765548,0.0006433045491576,356,0.054200580343604,True,False
