trial,method,group,collision,success,goal_distance_reduction_ratio,min_safety_h,num_steps,trajectory_length,average_speed_proxy,closest_goal_distance,final_goal_distance,has_trajectory_samples,nearest_gaussian_distance_mean,nearest_gaussian_distance_min,nearby_gaussian_count_r005,nearby_gaussian_count_r010,nearby_gaussian_count_r020,nearby_opacity_mean,nearby_max_scale_mean,nearby_anisotropy_mean,nearby_volume_proxy_mean
35,no_filter,no_filter_collision,True,False,0.9915618332947229,-0.0002271404955536127,279,0.8352839946746826,0.059876988865568644,0.0007229266489431696,0.006615627175965888,False,,,,,,,,,
36,no_filter,no_filter_collision,True,False,0.9910432715487834,-0.00022984678798820823,266,0.8230327367782593,0.06188216066001949,0.0007879415002496926,0.0070233800105056875,False,,,,,,,,,
37,no_filter,no_filter_collision,True,False,0.9909909498607309,-0.0002245497889816761,254,0.8100827932357788,0.06378604671147864,0.004235401038421312,0.007065378733016899,False,,,,,,,,,
38,no_filter,no_filter_collision,True,False,0.9917179000468973,-0.0002252730046166107,264,0.8211605548858643,0.062209132945898804,0.0027055017017951835,0.0064946916820374685,False,,,,,,,,,
39,no_filter,no_filter_collision,True,False,0.9915794844849097,-0.0002250483084935695,276,0.8324911594390869,0.06032544633616572,0.001262040719822088,0.006601980879333512,False,,,,,,,,,
40,no_filter,no_filter_collision,True,False,0.9910344516155715,-0.00022506943787448108,287,0.8443387746810913,0.058838939002166635,0.00044903223687395847,0.0070291341933291325,False,,,,,,,,,
41,no_filter,no_filter_collision,True,False,0.9912048415248196,-0.0002318090118933469,298,0.8572980761528015,0.05753678363441621,0.00019507184724999754,0.006896755702099836,False,,,,,,,,,
42,no_filter,no_filter_collision,True,False,0.9914434615461332,-0.00013879206380806863,308,0.8658742904663086,0.05622560327703303,0.00070423029832903,0.006710503642928455,False,,,,,,,,,
43,no_filter,no_filter_collision,True,False,0.9910474864080695,-0.00023386771499644965,316,0.8666245341300964,0.05484965405886686,0.0002513608547579926,0.007020353548194253,False,,,,,,,,,
44,no_filter,no_filter_collision,True,False,0.9914790071140569,-0.00022798511781729758,324,0.862861692905426,0.053263067463297904,0.0007873961916961092,0.006680712694989773,False,,,,,,,,,
45,no_filter,no_filter_collision,True,False,0.9913237645164816,-0.00022494708537124097,330,0.8584776520729065,0.05202894861047918,0.0004436910775523741,0.006802344295602146,False,,,,,,,,,
46,no_filter,no_filter_collision,True,False,0.9913269725584459,-0.0002249988610856235,335,0.8543692231178284,0.05100711779807931,0.0004473184932341176,0.006801054410958011,False,,,,,,,,,
47,no_filter,no_filter_collision,True,False,0.9915012050960428,-0.00022564511164091527,339,0.8457056283950806,0.04989413736844133,0.000831358159509316,0.006665222366428652,False,,,,,,,,,
48,no_filter,no_filter_collision,True,False,0.9911245285112044,-0.00022662064293399453,341,0.8292359113693237,0.048635537323714,5.0051642234140515e-05,0.006959871826125045,False,,,,,,,,,
49,no_filter,no_filter_collision,True,False,0.9916607698818671,-0.00019004460773430765,343,0.8068643808364868,0.04704748576306045,0.0005226324834736961,0.006538163538944128,False,,,,,,,,,
50,no_filter,no_filter_collision,True,False,0.9916607698818641,-0.00022499999613501132,343,0.8068643808364868,0.04704748576306045,0.0005226324835023974,0.006538163538946422,False,,,,,,,,,
51,no_filter,no_filter_collision,True,False,0.9911245285112784,-0.00013870603288523853,341,0.8292359113693237,0.048635537323714,5.005164820684105e-05,0.006959871826066909,False,,,,,,,,,
52,no_filter,no_filter_collision,True,False,0.9915012050960819,-0.00022644158161710948,339,0.8457056283950806,0.04989413736844133,0.0008313581588349526,0.006665222366398029,False,,,,,,,,,
53,no_filter,no_filter_collision,True,False,0.9913269725585051,-0.0002264140493934974,335,0.8543692231178284,0.05100711779807931,0.0004473184944309031,0.006801054410911619,False,,,,,,,,,
54,no_filter,no_filter_collision,True,False,0.9913237645149294,-0.00022544892271980643,330,0.8584776520729065,0.05202894861047918,0.0004436910841373519,0.006802344296819001,False,,,,,,,,,
